,Index,Player,Pos,,,,,,,,
216,0.052518757,Kenneth Faried,PF,,,,,,,,
47,0.220630372,Kentavious Caldwell-Pope,SG,,,,,,,,
134,0.178861789,Kentavious Caldwell-Pope,SF,,,,,,,,
69,0.235123367,Khris Middleton,SG,,,,,,,,
129,0.210596026,Khris Middleton,SF,,,,,,,,
146,0.143426295,Kyle Anderson,SF,,,,,,,,
10,0.17671346,Kyle Anderson,PG,,,,,,,,
226,0.080808081,Kyle Kuzma,PF,,,,,,,,
159,0.069518717,Kyle Kuzma,SF,,,,,,,,
220,0.058757062,LaMarcus Aldridge,PF,,,,,,,,
256,0.087536232,LaMarcus Aldridge,C,,,,,,,,
8,0.133971292,Lance Stephenson,PG,,,,,,,,
76,0.123209169,Lance Stephenson,SG,,,,,,,,
90,0.123919308,Langston Galloway,SG,,,,,,,,
9,0.139220366,Langston Galloway,PG,,,,,,,,
186,0.241639698,Larry Nance Jr.,PF,,,,,,,,
234,0.308707124,Larry Nance Jr.,C,,,,,,,,
116,0.814258912,LeBron James,SF,,,,,,,,
179,0.876678877,LeBron James,PF,,,,,,,,
21,0.101543461,Malcolm Brogdon,PG,,,,,,,,
67,0.077743902,Malcolm Brogdon,SG,,,,,,,,
150,0.117105263,Marco Belinelli,SF,,,,,,,,
66,0.145721925,Marco Belinelli,SG,,,,,,,,
86,0.102874433,Marcus Smart,SG,,,,,,,,
12,0.131859132,Marcus Smart,PG,,,,,,,,
225,0.098277609,Mario Hezonja,PF,,,,,,,,
124,0.116395494,Mario Hezonja,SF,,,,,,,,
23,0.110281924,Markelle Fultz,PG,,,,,,,,
41,0.083815029,Markelle Fultz,SG,,,,,,,,
211,0.103553299,Markieff Morris,PF,,,,,,,,
160,0.111564626,Markieff Morris,SF,,,,,,,,
249,0.122745491,Mike Muscala,C,,,,,,,,
208,0.083665339,Mike Muscala,PF,,,,,,,,
52,0.052700922,Nik Stauskas,SG,,,,,,,,
173,0.048162231,Nik Stauskas,SF,,,,,,,,
187,0.215859031,Nikola Mirotic,PF,,,,,,,,
132,0.15704698,Nikola Mirotic,SF,,,,,,,,
207,0.074113856,Noah Vonleh,PF,,,,,,,,
245,0.1,Noah Vonleh,C,,,,,,,,
195,0.151731161,Otto Porter Jr.,PF,,,,,,,,
119,0.168108776,Otto Porter Jr.,SF,,,,,,,,
53,0.245441795,Pat Connaughton,SG,,,,,,,,
113,0.226438188,Pat Connaughton,SF,,,,,,,,
243,0.089835729,Patrick Patterson,C,,,,,,,,
199,0.090909091,Patrick Patterson,PF,,,,,,,,
44,0.136,Patty Mills,SG,,,,,,,,
34,0.142966949,Patty Mills,PG,,,,,,,,
120,0.494470774,Paul George,SF,,,,,,,,
183,0.544047619,Paul George,PF,,,,,,,,
13,0.144893112,Raymond Felton,PG,,,,,,,,
65,0.139053254,Raymond Felton,SG,,,,,,,,
155,0.069498069,Reggie Bullock,SF,,,,,,,,
91,0.098360656,Reggie Bullock,SG,,,,,,,,
24,0.162615256,Reggie Jackson,PG,,,,,,,,
61,0.134560907,Reggie Jackson,SG,,,,,,,,
246,0.119586614,Richaun Holmes,C,,,,,,,,
188,0.083857442,Richaun Holmes,PF,,,,,,,,
126,0.182781457,Robert Covington,SF,,,,,,,,
182,0.220338983,Robert Covington,PF,,,,,,,,
169,0.07544757,Rodney Hood,SF,,,,,,,,
105,0.09811828,Rodney Hood,SG,,,,,,,,
153,0.106080207,Rodney McGruder,SF,,,,,,,,
85,0.161825726,Rodney McGruder,SG,,,,,,,,
71,0.070385126,Ron Baker,SG,,,,,,,,
30,0.075856444,Ron Baker,PG,,,,,,,,
240,0.218931782,Rondae Hollis-Jefferson,C,,,,,,,,
190,0.165751921,Rondae Hollis-Jefferson,PF,,,,,,,,
228,0.035823951,Ryan Anderson,PF,,,,,,,,
247,0.063578117,Ryan Anderson,C,,,,,,,,
107,0.062937063,Ryan Broekhoff,SG,,,,,,,,
164,0.064918851,Ryan Broekhoff,SF,,,,,,,,
28,0.060876623,Seth Curry,PG,,,,,,,,
110,0.064156206,Seth Curry,SG,,,,,,,,
7,0.192839707,Shabazz Napier,PG,,,,,,,,
77,0.193006993,Shabazz Napier,SG,,,,,,,,
5,0.252411576,Spencer Dinwiddie,PG,,,,,,,,
56,0.221893491,Spencer Dinwiddie,SG,,,,,,,,
203,0.131845842,Stanley Johnson,PF,,,,,,,,
147,0.141721854,Stanley Johnson,SF,,,,,,,,
121,0.274348422,T.J. Warren,SF,,,,,,,,
180,0.336448598,T.J. Warren,PF,,,,,,,,
63,0.202398801,Terrence Ross,SG,,,,,,,,
125,0.148241206,Terrence Ross,SF,,,,,,,,
81,0.137254902,Terry Rozier,SG,,,,,,,,
26,0.172829582,Terry Rozier,PG,,,,,,,,
219,0.047974414,Thabo Sefolosha,PF,,,,,,,,
171,0.037662338,Thabo Sefolosha,SF,,,,,,,,
215,0.082352941,Thon Maker,PF,,,,,,,,
242,0.106008793,Thon Maker,C,,,,,,,,
111,0.082132565,Tim Frazier,SG,,,,,,,,
16,0.066718995,Tim Frazier,PG,,,,,,,,
102,0.15483871,Tim Hardaway Jr.,SG,,,,,,,,
166,0.15171504,Tim Hardaway Jr.,SF,,,,,,,,
2,0.173671689,Tomas Satoransky,PG,,,,,,,,
75,0.168539326,Tomas Satoransky,SG,,,,,,,,
88,0.076258993,Tony Snell,SG,,,,,,,,
130,0.072590738,Tony Snell,SF,,,,,,,,
0,0.31152648,Tyler Johnson,PG,,,,,,,,
43,0.278846154,Tyler Johnson,SG,,,,,,,,
87,0.134920635,Wayne Ellington,SG,,,,,,,,
143,0.151399491,Wayne Ellington,SF,,,,,,,,
204,0.138308458,Wesley Johnson,PF,,,,,,,,
145,0.133583021,Wesley Johnson,SF,,,,,,,,
73,0.128798842,Wesley Matthews,SG,,,,,,,,
140,0.119784657,Wesley Matthews,SF,,,,,,,,
165,0.140776699,Wilson Chandler,SF,,,,,,,,
212,0.144787645,Wilson Chandler,PF,,,,,,,,
35,0.086286595,Yuta Watanabe,PG,,,,,,,,
101,0.074850299,Yuta Watanabe,SG,,,,,,,,
36,0.131557036,Zach LaVine,PG,,,,,,,,
80,0.13322884,Zach LaVine,SG,,,,,,,,
