Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF,Terrance Ferguson (11588007),Terrance Ferguson,11588007,SF/F/UTIL,3200,OKC@CLE 11/07/2018 07:00PM ET,OKC,7.17
PG/SG,T.J. McConnell (11588010),T.J. McConnell,11588010,PG/SG/G/UTIL,3200,PHI@IND 11/07/2018 08:00PM ET,PHI,10.53
PF/C,Amir Johnson (11588014),Amir Johnson,11588014,PF/C/F/UTIL,3200,PHI@IND 11/07/2018 08:00PM ET,PHI,12.30
SF/PF,Doug McDermott (11588018),Doug McDermott,11588018,SF/PF/F/UTIL,3200,PHI@IND 11/07/2018 08:00PM ET,IND,10.04
PF,TJ Leaf (11588022),TJ Leaf,11588022,PF/F/UTIL,3200,PHI@IND 11/07/2018 08:00PM ET,IND,3.93
SG/SF,Luke Kennard (11588025),Luke Kennard,11588025,SG/SF/F/G/UTIL,3200,DET@ORL 11/07/2018 07:00PM ET,DET,10.58
SG,Khyri Thomas (11588030),Khyri Thomas,11588030,SG/G/UTIL,3200,DET@ORL 11/07/2018 07:00PM ET,DET,0
SF/PF,Omri Casspi (11588033),Omri Casspi,11588033,SF/PF/F/UTIL,3200,DEN@MEM 11/07/2018 08:00PM ET,MEM,11.96
SG,Wayne Selden Jr. (11588037),Wayne Selden Jr.,11588037,SG/G/UTIL,3200,DEN@MEM 11/07/2018 08:00PM ET,MEM,11.22
SG/SF,Torrey Craig (11588040),Torrey Craig,11588040,SG/SF/F/G/UTIL,3200,DEN@MEM 11/07/2018 08:00PM ET,DEN,10.92
PG/SG,Devin Harris (11588045),Devin Harris,11588045,PG/SG/G/UTIL,3200,DAL@UTA 11/07/2018 09:00PM ET,DAL,1.5
PF/C,Davis Bertans (11588049),Davis Bertans,11588049,PF/C/F/UTIL,3200,SA@MIA 11/07/2018 07:30PM ET,SA,11.42
SF,Derrick Jones Jr. (11588053),Derrick Jones Jr.,11588053,SF/F/UTIL,3200,SA@MIA 11/07/2018 07:30PM ET,MIA,13.17
SG,Vince Carter (11588056),Vince Carter,11588056,SG/G/UTIL,3200,NY@ATL 11/07/2018 07:30PM ET,ATL,15.42
C,Cristiano Felicio (11588059),Cristiano Felicio,11588059,C/UTIL,3200,CHI@NO 11/07/2018 08:00PM ET,CHI,14.75
PG,Frank Jackson (11588061),Frank Jackson,11588061,PG/G/UTIL,3200,CHI@NO 11/07/2018 08:00PM ET,NO,7.5
C,Jahlil Okafor (11588064),Jahlil Okafor,11588064,C/UTIL,3200,CHI@NO 11/07/2018 08:00PM ET,NO,8.5
PG/SG,Delon Wright (11588066),Delon Wright,11588066,PG/SG/G/UTIL,3200,TOR@SAC 11/07/2018 10:00PM ET,TOR,9.62
C,Kosta Koufos (11588070),Kosta Koufos,11588070,C/UTIL,3200,TOR@SAC 11/07/2018 10:00PM ET,SAC,14.62
PG/SG,Yogi Ferrell (11588072),Yogi Ferrell,11588072,PG/SG/G/UTIL,3200,TOR@SAC 11/07/2018 10:00PM ET,SAC,10.33
PG,Jared Terrell (11588076),Jared Terrell,11588076,PG/G/UTIL,3100,MIN@LAL 11/07/2018 10:30PM ET,MIN,12.25
C,Ivica Zubac (11588079),Ivica Zubac,11588079,C/UTIL,3100,MIN@LAL 11/07/2018 10:30PM ET,LAL,10.19
SG,Wes Iwundu (11588081),Wes Iwundu,11588081,SG/G/UTIL,3100,DET@ORL 11/07/2018 07:00PM ET,ORL,9.12
PF/C,Jarell Martin (11588084),Jarell Martin,11588084,PF/C/F/UTIL,3100,DET@ORL 11/07/2018 07:00PM ET,ORL,7.65
SG,Bruce Brown Jr. (11588088),Bruce Brown Jr.,11588088,SG/G/UTIL,3100,DET@ORL 11/07/2018 07:00PM ET,DET,7.36
PF,Ivan Rabb (11588091),Ivan Rabb,11588091,PF/F/UTIL,3100,DEN@MEM 11/07/2018 08:00PM ET,MEM,8.2
PF,Georges Niang (11588094),Georges Niang,11588094,PF/F/UTIL,3100,DAL@UTA 11/07/2018 09:00PM ET,UTA,8.62
PG,Jalen Brunson (11588097),Jalen Brunson,11588097,PG/G/UTIL,3100,DAL@UTA 11/07/2018 09:00PM ET,DAL,8.15
C,Jakob Poeltl (11588100),Jakob Poeltl,11588100,C/UTIL,3100,SA@MIA 11/07/2018 07:30PM ET,SA,7.83
SF,Quincy Pondexter (11588102),Quincy Pondexter,11588102,SF/F/UTIL,3100,SA@MIA 11/07/2018 07:30PM ET,SA,6.38
SG/SF,Wayne Ellington (11588105),Wayne Ellington,11588105,SG/SF/F/G/UTIL,3100,SA@MIA 11/07/2018 07:30PM ET,MIA,4.75
SF/PF,Lance Thomas (11588110),Lance Thomas,11588110,SF/PF/F/UTIL,3100,NY@ATL 11/07/2018 07:30PM ET,NY,9.23
SF,Alex Poythress (11588114),Alex Poythress,11588114,SF/F/UTIL,3100,NY@ATL 11/07/2018 07:30PM ET,ATL,14.54
