PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,
Ben Simmons,PHI,22,1,1,0,36,10,4,9,44.4,0,0,0,2,5,40,0,8,8,8,3,1,1,2,34.6,0,0,15,
Bam Adebayo,MIA,21,1,0,1,19.2,8,3,7,42.9,0,0,0,2,3,66.7,0,6,6,3,1,2,2,1,30.7,0,0,-11,
Austin Rivers,WAS,26,1,0,1,13.4,0,0,3,0,0,1,0,0,0,0,0,3,3,0,0,0,0,1,3.6,0,0,-8,
Aron Baynes,BOS,31,1,1,0,17.8,6,1,3,33.3,0,0,0,4,4,100,2,2,4,4,0,0,1,3,19.8,0,0,12,
Antonio Blakeney,CHI,22,1,0,1,20.8,18,8,14,57.1,2,4,50,0,0,0,0,2,2,1,1,0,0,1,20.9,0,0,-7,
Anthony Davis,NOP,25,1,1,0,40.4,43,16,25,64,1,4,25,10,15,66.7,4,13,17,5,2,1,1,2,74.9,1,0,10,
Anfernee Simons,POR,19,1,0,1,13.4,7,3,7,42.9,0,2,0,1,2,50,0,3,3,1,0,0,0,0,12.1,0,0,9,
Andrew Wiggins,MIN,23,1,1,0,37.2,23,9,21,42.9,3,8,37.5,2,2,100,0,5,5,4,2,2,1,1,42,0,0,17,
Amir Johnson,PHI,31,1,1,0,14.2,11,4,9,44.4,2,3,66.7,1,2,50,4,1,5,3,1,0,0,4,20.5,0,0,-12,
Allonzo Trier,NYK,22,1,0,1,32.3,11,4,11,36.4,1,4,25,2,2,100,1,1,2,5,1,0,1,2,22.9,0,0,-9,
Allen Crabbe,BKN,26,1,1,0,20.4,6,2,8,25,1,6,16.7,1,1,100,0,2,2,0,0,0,0,1,8.4,0,0,9,
Alec Burks,UTA,27,1,0,1,11.4,4,1,2,50,0,1,0,2,3,66.7,0,1,1,2,0,0,0,2,8.2,0,0,-1,
Al-Farouq Aminu,POR,28,1,0,1,29.9,5,1,7,14.3,1,5,20,2,2,100,1,7,8,1,1,2,0,1,21.1,0,0,-22,
Al Horford,BOS,32,1,1,0,35.2,11,5,9,55.6,1,2,50,0,0,0,1,8,9,2,1,0,2,2,29.8,0,0,-5,
