PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,
Danilo Gallinari,LAC,30,1,1,0,32.6,28,9,14,64.3,5,7,71.4,5,5,100,0,3,3,2,1,1,0,0,36.6,0,0,4,
Daniel Theis,BOS,26,1,0,1,12.4,7,3,4,75,0,0,0,1,4,25,2,0,2,0,0,0,0,4,9.4,0,0,5,
Damion Lee,GSW,26,1,0,1,18.7,13,4,8,50,3,5,60,2,2,100,0,4,4,0,0,2,0,1,23.8,0,0,18,
Damian Jones,GSW,23,1,0,1,22.1,2,1,1,100,0,0,0,0,0,0,1,6,7,1,2,1,4,3,24.9,0,0,7,
D.J. Augustin,ORL,31,1,1,0,27.1,22,7,9,77.8,3,3,100,5,5,100,0,1,1,7,2,0,0,2,31.7,0,0,9,
D'Angelo Russell,BKN,22,1,0,1,34.5,23,9,16,56.3,5,7,71.4,0,0,0,0,3,3,10,1,2,1,0,49.6,1,0,4,
Cristiano Felicio,CHI,26,1,0,1,11.2,3,1,1,100,0,0,0,1,1,100,1,1,2,1,0,0,0,0,6.9,0,0,-1,
Cory Joseph,IND,27,1,1,0,29.5,4,2,8,25,0,2,0,0,0,0,0,3,3,5,7,5,0,3,23.1,0,0,2,
Cody Zeller,CHA,26,1,0,1,35.5,10,4,8,50,0,1,0,2,2,100,1,6,7,4,0,1,0,6,27.4,0,0,14,
Clint Capela,HOU,24,1,1,0,35.1,23,11,14,78.6,0,0,0,1,3,33.3,5,11,16,1,1,1,4,1,57.7,1,0,24,
Chris Paul,HOU,33,1,1,0,32.8,24,7,9,77.8,6,8,75,4,5,80,0,4,4,9,8,1,0,4,37.3,0,0,19,
Chris Boucher,TOR,25,1,1,0,6.6,2,1,4,25,0,2,0,0,0,0,0,3,3,0,0,0,2,1,11.6,0,0,-1,
Chandler Hutchison,CHI,22,1,0,1,20.7,9,3,8,37.5,0,2,0,3,3,100,1,4,5,0,5,3,0,2,19,0,0,-14,
Cameron Payne,CHI,24,1,0,1,22.3,4,2,6,33.3,0,1,0,0,0,0,1,2,3,4,2,1,1,4,17.6,0,0,-16,
Buddy Hield,SAC,24,1,0,1,29.7,23,10,17,58.8,3,6,50,0,0,0,5,2,7,2,2,1,0,3,35.4,0,0,-23,
Brandon Ingram,LAL,21,1,0,1,33.7,17,7,13,53.8,0,2,0,3,4,75,0,6,6,7,0,0,0,1,34.7,0,0,-7,
Brad Wanamaker,BOS,29,1,0,1,9,2,1,4,25,0,1,0,0,0,0,0,1,1,1,1,1,0,0,6.7,0,0,5,
Bojan Bogdanovic,IND,29,1,1,0,28.3,22,7,12,58.3,3,5,60,5,5,100,0,4,4,0,4,0,0,2,22.8,0,0,6,
Bogdan Bogdanovic,SAC,26,1,0,1,19.9,14,6,11,54.5,2,5,40,0,0,0,0,1,1,5,0,1,0,2,25.7,0,0,-12,
Bismack Biyombo,CHA,26,1,0,1,4.8,2,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,-5,
Ben Simmons,PHI,22,1,1,0,39.2,23,7,13,53.8,0,0,0,9,11,81.8,1,10,11,9,4,2,0,2,51.7,1,0,1,
Aron Baynes,BOS,31,1,0,1,14.4,5,2,5,40,1,1,100,0,0,0,3,2,5,1,1,1,1,3,17.5,0,0,-4,
Antonio Blakeney,CHI,22,1,0,1,32.6,13,6,19,31.6,0,2,0,1,2,50,1,2,3,1,4,0,0,0,14.1,0,0,-30,
Anthony Davis,NOP,25,1,1,0,37.7,40,10,20,50,0,1,0,20,21,95.2,4,4,8,8,0,0,1,4,64.6,0,0,11,
Andre Iguodala,GSW,34,1,0,1,28.3,8,4,9,44.4,0,4,0,0,0,0,2,3,5,4,2,0,0,0,18,0,0,-12,
Amir Johnson,PHI,31,1,1,0,9.8,6,2,3,66.7,1,2,50,1,1,100,1,3,4,0,2,0,0,1,8.8,0,0,-1,
Allen Crabbe,BKN,26,1,0,1,29.9,15,5,11,45.5,3,6,50,2,2,100,0,4,4,1,0,0,0,3,21.3,0,0,0,
Alex Poythress,ATL,25,1,0,1,11.3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,1,9.6,0,0,1,
Alex Len,ATL,25,1,0,1,20.4,5,1,7,14.3,0,1,0,3,4,75,2,2,4,2,0,1,0,2,15.8,0,0,6,
Alec Burks,UTA,27,1,1,0,12.5,2,1,3,33.3,0,2,0,0,0,0,0,0,0,0,2,1,0,3,3,0,0,14,
Al Horford,BOS,32,1,0,1,21.3,9,4,7,57.1,1,4,25,0,0,0,2,4,6,2,3,1,2,2,25.2,0,0,-13,
Aaron Holiday,IND,22,1,1,0,15.2,12,4,6,66.7,3,4,75,1,2,50,0,3,3,2,2,0,0,4,16.6,0,0,10,
Aaron Gordon,ORL,23,1,1,0,29.4,12,5,13,38.5,1,2,50,1,2,50,3,3,6,3,1,2,0,1,28.7,0,0,11,
